candidate_id,api_name,api_state,polymer_family,polymer_descriptor_key,cosolvent_system,cosolvent_composition_v_v,ion_condition,pH_condition,priority_tier,notes,descriptor_family_class,descriptor_fragment_id,descriptor_repeat_units,descriptor_hotspot_bond_type,descriptor_barrier_proxy_eV,descriptor_stretch_tolerance_A,descriptor_peak_force_eV_per_A,descriptor_source_run
cand_001,API_PLACEHOLDER,neutral,PEG/PEO,peg,water,100:0:0,none,NA,screen,baseline aqueous,polyether,peg_trimer_dimethyl_capped,3,O-C,4.330082416534424,1.7277863878015827,3.1941783562759385,family_expansion_v1
cand_002,API_PLACEHOLDER,neutral,PEG/PEO,peg,ethanol_water,0:30:70,none,NA,screen,volatile co-solvent example,polyether,peg_trimer_dimethyl_capped,3,O-C,4.330082416534424,1.7277863878015827,3.1941783562759385,family_expansion_v1
cand_003,API_PLACEHOLDER,neutral,PEG/PEO,peg,glycerol_water,0:30:70,none,NA,screen,plasticizing co-solvent example,polyether,peg_trimer_dimethyl_capped,3,O-C,4.330082416534424,1.7277863878015827,3.1941783562759385,family_expansion_v1
cand_004,API_PLACEHOLDER,neutral,Gelatin,gelatin,water,100:0:0,none,NA,screen,baseline aqueous,polypeptide,gelatin_like_ac_glygly_nme_proxy,2,C-N,4.065406680107117,3.3429143935567485,3.386908823538401,family_expansion_v1
cand_005,API_PLACEHOLDER,neutral,Gelatin,gelatin,ethanol_water,0:30:70,none,NA,screen,volatile co-solvent example,polypeptide,gelatin_like_ac_glygly_nme_proxy,2,C-N,4.065406680107117,3.3429143935567485,3.386908823538401,family_expansion_v1
cand_006,API_PLACEHOLDER,neutral,Gelatin,gelatin,glycerol_water,0:30:70,none,NA,screen,plasticizing co-solvent example,polypeptide,gelatin_like_ac_glygly_nme_proxy,2,C-N,4.065406680107117,3.3429143935567485,3.386908823538401,family_expansion_v1
cand_007,API_PLACEHOLDER,neutral,Pectin,pectin,water,100:0:0,none,NA,screen,baseline aqueous,polygalacturonate polysaccharide,pectin_like_digalacturonic_dimer_proxy,2,O-C,4.593661606348178,3.4284391666790803,3.1147008824799274,family_expansion_v1
cand_008,API_PLACEHOLDER,neutral,Pectin,pectin,ethanol_water,0:30:70,none,NA,screen,volatile co-solvent example,polygalacturonate polysaccharide,pectin_like_digalacturonic_dimer_proxy,2,O-C,4.593661606348178,3.4284391666790803,3.1147008824799274,family_expansion_v1
cand_009,API_PLACEHOLDER,neutral,Pectin,pectin,glycerol_water,0:30:70,none,NA,screen,plasticizing co-solvent example,polygalacturonate polysaccharide,pectin_like_digalacturonic_dimer_proxy,2,O-C,4.593661606348178,3.4284391666790803,3.1147008824799274,family_expansion_v1
cand_010,API_PLACEHOLDER,neutral,HPC,hpc,water,100:0:0,none,NA,screen,baseline aqueous,cellulose ether,hpc_like_hydroxypropyl_cellobiose_proxy,2,O-C,4.449121206998825,1.735583894236698,2.6084515541169577,family_expansion_v1
cand_011,API_PLACEHOLDER,neutral,HPC,hpc,ethanol_water,0:30:70,none,NA,screen,volatile co-solvent example,cellulose ether,hpc_like_hydroxypropyl_cellobiose_proxy,2,O-C,4.449121206998825,1.735583894236698,2.6084515541169577,family_expansion_v1
cand_012,API_PLACEHOLDER,neutral,HPC,hpc,glycerol_water,0:30:70,none,NA,screen,plasticizing co-solvent example,cellulose ether,hpc_like_hydroxypropyl_cellobiose_proxy,2,O-C,4.449121206998825,1.735583894236698,2.6084515541169577,family_expansion_v1
cand_013,API_PLACEHOLDER,neutral,Xanthan,xanthan,water,100:0:0,none,NA,screen,baseline aqueous,branched polysaccharide,xanthan_like_branched_glucan_proxy,3,O-C,4.427892312494805,3.4380574390715584,2.9207724069883416,family_expansion_v1
cand_014,API_PLACEHOLDER,neutral,Xanthan,xanthan,ethanol_water,0:30:70,none,NA,screen,volatile co-solvent example,branched polysaccharide,xanthan_like_branched_glucan_proxy,3,O-C,4.427892312494805,3.4380574390715584,2.9207724069883416,family_expansion_v1
cand_015,API_PLACEHOLDER,neutral,Xanthan,xanthan,glycerol_water,0:30:70,none,NA,screen,plasticizing co-solvent example,branched polysaccharide,xanthan_like_branched_glucan_proxy,3,O-C,4.427892312494805,3.4380574390715584,2.9207724069883416,family_expansion_v1
